"Store Nbr","Mod Footage","Store Name","Store Type","Building Address","Building City","Building State/Prov","Building Postal Code"
"577","12","OLATHE KS","Supercenter","13600 S ALDEN ST","OLATHE","KS","66062"
"578","12","SEVIERVILLE TN","Supercenter","1414 PARKWAY","SEVIERVILLE","TN","37862"
"579","12","ST AUGUSTINE FL","Supercenter","2355 US HIGHWAY 1 S","ST AUGUSTINE","FL","32086"
"581","12","MARSHALLTOWN IA","Supercenter","2802 S CENTER ST","MARSHALLTOWN","IA","50158"
"582","12","PORT ORANGE/DAYTONA BEACH","Supercenter","1590 DUNLAWTON AVE","PORT ORANGE","FL","32127"
"585","12","ROCK HILL SC","Supercenter","2377 DAVE LYLE BLVD","ROCK HILL","SC","29730"
"586","12","CONWAY SC","Supercenter","2709 CHURCH ST STE A","CONWAY","SC","29526"
"587","12","SPARTA TN","Supercenter","202 SAM WALTON DR","SPARTA","TN","38583"
"588","12","ALBANY GA","Supercenter","2825 LEDO RD","ALBANY","GA","31707"
"590","12","BENBROOK TX/FT WORTH","Supercenter","6300 OAKMONT BLVD","FORT WORTH","TX","76132"
"592","12","DERBY KS","Supercenter","2020 N NELSON DR","DERBY","KS","67037"
"593","12","DOUGLAS GA","Supercenter","1450 BOWENS MILL RD SE","DOUGLAS","GA","31533"
"594","12","FAYETTEVILLE, GA","Supercenter","125 PAVILION PKWY","FAYETTEVILLE","GA","30214"
"595","12","HARLINGEN TX","Supercenter","1801 W LINCOLN ST","HARLINGEN","TX","78552"
"598","12","KEARNEY, NE","Supercenter","5411 2ND AVE","KEARNEY","NE","68847"
"601","12","SAN ANGELO TX","Supercenter","5501 SHERWOOD WAY","SAN ANGELO","TX","76904"
"602","12","THE WOODLANDS,TX","Supercenter","1025 SAWDUST RD","SPRING","TX","77380"
"604","12","DOTHAN AL","Supercenter","4310 MONTGOMERY HWY","DOTHAN","AL","36303"
"605","12","SAVANNAH GA","Supercenter","1955 E MONTGOMERY XRD","SAVANNAH","GA","31406"
"606","12","SAVANNAH GA","Wal-Mart","4725 US HIGHWAY 80 E","SAVANNAH","GA","31410"
"608","12","MIDLAND TX","Supercenter","4517 N MIDLAND DR","MIDLAND","TX","79707"
"609","12","HANNIBAL MO","Supercenter","3650 STARDUST DR","HANNIBAL","MO","63401"
"610","12","STEPHENVILLE TX","Supercenter","2765 W WASHINGTON ST","STEPHENVILLE","TX","76401"
"611","12","ROSWELL NM","Supercenter","4500 N MAIN ST STE A","ROSWELL","NM","88201"
"613","12","ORMOND BEACH FL","Supercenter","1521 W GRANADA BLVD","ORMOND BEACH","FL","32174"
"614","12","LA GRANGE GA","Supercenter","803 NEW FRANKLIN RD","LAGRANGE","GA","30240"
"615","12","CARTERSVILLE GA","Supercenter","101 MARKET PLACE BLVD","CARTERSVILLE","GA","30121"
"616","12","ORANGEBURG, SC","Supercenter","2795 NORTH RD","ORANGEBURG","SC","29118"
"617","12","SULLIVAN IN","Wal-Mart","757 W WOLFE ST","SULLIVAN","IN","47882"
"620","12","BRISTOL TN","Supercenter","220 CENTURY BLVD","BRISTOL","TN","37620"
"629","12","UNION SC","Supercenter","513 N DUNCAN BYP","UNION","SC","29379"
"630","12","FLORENCE SC","Supercenter","230 N BELTLINE DR","FLORENCE","SC","29501"
"631","12","EASLEY SC","Supercenter","115 ROLLING HILLS CIR","EASLEY","SC","29640"
"633","12","KEWANEE IL","Supercenter","730 TENNEY ST","KEWANEE","IL","61443"
"634","12","CAMDEN SC","Supercenter","2240 W DEKALB ST","CAMDEN","SC","29020"
"636","12","PRINCETON IL","Supercenter","2111 CLAUDE BAILEY PKWY","PRINCETON","IL","61356"
"637","12","LEXINGTON NE","Supercenter","200 FRONTIER ST","LEXINGTON","NE","68850"
"638","12","GAFFNEY SC","Supercenter","165 WALTON DR","GAFFNEY","SC","29341"
"639","12","BRUNSWICK GA","Supercenter","150 ALTAMA CONNECTOR","BRUNSWICK","GA","31525"
"640","12","GREENVILLE SC","Supercenter","1451 WOODRUFF RD","GREENVILLE","SC","29607"
